DDI-MedLine.d48.s6|15-35|diethyl pyrocarbonate|drug
DDI-DrugBank.d367.s18|258-275|acetilsalicic acid|drug
DDI-DrugBank.d367.s18|415-51||drug_n
DDI-DrugBank.d367.s19|31-38|antacids|group
DDI-DrugBank.d367.s22|3-3|8|drug
DDI-DrugBank.d367.s22|5-5|8|drug_n
DDI-DrugBank.d367.s22|7-7|8|drug
DDI-DrugBank.d367.s22|9-9|8|drug_n
DDI-DrugBank.d367.s22|11-11|8|drug
DDI-DrugBank.d367.s22|13-13|8|drug_n
DDI-DrugBank.d367.s22|15-15|8|drug
DDI-DrugBank.d367.s22|17-17|8|drug_n
DDI-DrugBank.d367.s22|19-19|8|drug_n
DDI-DrugBank.d367.s22|21-21|8|drug_n
DDI-DrugBank.d367.s22|23-23|8|drug_n
DDI-DrugBank.d367.s22|25-25|8|drug_n
DDI-DrugBank.d367.s22|27-27|8|drug_n
DDI-DrugBank.d367.s22|29-29|8|drug_n
DDI-DrugBank.d367.s22|31-31|8|drug_n
DDI-DrugBank.d367.s22|33-33|8|drug_n
DDI-DrugBank.d367.s22|35-35|8|drug_n
DDI-DrugBank.d367.s22|37-37|8|drug_n
DDI-DrugBank.d367.s22|39-39|8|drug_n
DDI-DrugBank.d367.s22|41-41|8|drug_n
DDI-DrugBank.d367.s22|43-43|8|drug_n
DDI-DrugBank.d367.s22|45-45|8|drug_n
DDI-DrugBank.d367.s22|47-47|8|drug_n
DDI-DrugBank.d367.s22|49-49|8|drug_n
DDI-DrugBank.d367.s22|51-51|8|drug_n
DDI-DrugBank.d367.s22|53-53|8|drug_n
DDI-DrugBank.d367.s22|55-55|8|drug_n
DDI-DrugBank.d367.s22|57-57|8|drug_n
DDI-DrugBank.d367.s22|59-59|8|drug_n
DDI-DrugBank.d367.s23|0-26|sedatives and tranquilizers|drug
DDI-DrugBank.d367.s24|3-13|chloroquine|drug
DDI-DrugBank.d367.s24|15-32|hydroxychloroquine|drug
DDI-DrugBank.d367.s24|34-54|chloroquine phosphate|drug
DDI-DrugBank.d367.s24|56-81|hydroxychloroquine sulfate|drug
DDI-DrugBank.d367.s24|83-103|chloroquine phosphate|drug
DDI-DrugBank.d367.s24|105-130|hydroxychloroquine sulfate|drug
DDI-DrugBank.d367.s24|132-152|chloroquine phosphate|drug
DDI-DrugBank.d367.s24|154-179|hydroxychloroquine sulfate|drug
DDI-DrugBank.d367.s24|181-201|chloroquine phosphate|drug
DDI-DrugBank.d223.s0|0-29|Drugs Metabolized by P450 2D6:|drug
DDI-DrugBank.d223.s1|0-32|reduced P450 2D6 isozyme activity|drug
DDI-DrugBank.d223.s2|5-16|metabolizers|group
DDI-DrugBank.d223.s3|0-167|Depending on the fraction of drug metabolized by P450 2D6, the increase in plasma concentration may be small, or quite large (8-fold increase in plasma AUC of the TCA).|drug
DDI-DrugBank.d223.s5|3-148|individual who is stable on a given dose of TCA may become abruptly toxic when given one of these <drug_n>inhibiting drugs as concomitant therapy.|group
DDI-DrugBank.d223.s6|107-115|quinidine|drug
DDI-DrugBank.d223.s6|119-132|anticoagulants|group
DDI-DrugBank.d223.s6|136-147|glutethimide|drug
DDI-DrugBank.d223.s7|0-9|cimetidine|drug
DDI-DrugBank.d223.s8|69-78|citalopram|drug
DDI-DrugBank.d223.s8|81-92|escitalopram|drug
DDI-DrugBank.d223.s8|95-104|fluoxetine|drug
DDI-DrugBank.d223.s8|107-116|sertraline|drug
DDI-DrugBank.d223.s8|123-132|paroxetine|drug
DDI-DrugBank.d223.s9|141-154|anticoagulants|group
DDI-DrugBank.d223.s9|181-197|antifungal agents|group
DDI-DrugBank.d223.s9|250-261|glutethimide|drug
DDI-DrugBank.d223.s11|0-23|of particular importance|drug
DDI-DrugBank.d223.s11|26-69|in a patient being withdrawn from fluoxetine|drug
DDI-DrugBank.d223.s12|19-43|tricyclic antidepressants|group
DDI-DrugBank.d223.s12|156-179|tricyclic antidepressant|brand
DDI-DrugBank.d223.s13|140-153|anticoagulants|group
DDI-DrugBank.d223.s13|155-166|glutethimide|drug
DDI-DrugBank.d223.s13|168-184|antifungal agents|group
DDI-DrugBank.d223.s13|186-202|clostridium toxin|drug_n
DDI-DrugBank.d223.s13|204-217|anticoagulants|group
DDI-DrugBank.d223.s13|251-257|aspirin|drug
DDI-DrugBank.d223.s13|259-263|xanax|drug
DDI-DrugBank.d223.s13|265-281|clostridium toxin|drug_n
DDI-DrugBank.d223.s13|283-299|antifungal agents|group
DDI-DrugBank.d223.s13|301-312|glutethimide|drug
DDI-DrugBank.d223.s13|346-359|anticoagulants|group
DDI-DrugBank.d223.s13|361-367|aspirin|drug
DDI-DrugBank.d223.s13|369-380|glutethimide|drug
DDI-DrugBank.d223.s13|382-398|clostridium toxin|drug_n
DDI-DrugBank.d223.s13|400-416|antifungal agents|group
DDI-DrugBank.d223.s13|450-456|aspirin|drug
DDI-DrugBank.d223.s13|458-469|glutethimide|drug
DDI-DrugBank.d223.s14|147-164|acetilsalicic acid|drug
DDI-DrugBank.d223.s14|166-179|anticoagulants|group
DDI-DrugBank.d223.s14|181-192|glutethimide|drug
DDI-DrugBank.d223.s14|194-200|aspirin|brand
DDI-DrugBank.d223.s14|202-218|clostridium toxin|drug_n
DDI-DrugBank.d223.s14|220-231|glutethimide|drug
DDI-DrugBank.d223.s14|233-249|antifungal agents|group
DDI-DrugBank.d223.s14|283-294|glutethimide|drug
DDI-DrugBank.d223.s14|296-309|anticoagulants|group
DDI-DrugBank.d223.s14|311-327|clostridium toxin|drug_n
DDI-DrugBank.d223.s14|329-340|glutethimide|drug
DDI-DrugBank.d223.s14|342-358|antifungal agents|group
DDI-DrugBank.d223.s14|392-403|glutethimide|drug
DDI-DrugBank.d223.s14|405-411|aspirin|brand
DDI-DrugBank.d223.s14|413-429|clostridium toxin|drug_n
DDI-DrugBank.d223.s14|431-442|glutethimide|drug
DDI-DrugBank.d223.s14|444-457|anticoagulants|group
DDI-DrugBank.d223.s15|0-6|Doxepin|drug
DDI-DrugBank.d223.s15|36-41|CYP2D6|drug
DDI-DrugBank.d223.s15|49-54|CYP1A2|drug
DDI-DrugBank.d223.s15|62-67|CYP3A4|drug
DDI-DrugBank.d223.s16|42-50|quinidine|group
DDI-DrugBank.d223.s16|53-91|selective serotonin reuptake inhibitors|group
DDI-DrugBank.d223.s16|94-98|SSRIs|group
DDI-DrugBank.d223.s18|29-35|doxepin|drug
DDI-DrugBank.d223.s18|40-54|antidepressants|group
DDI-DrugBank.d223.s18|70-79|depression|group
DDI-DrugBank.d223.s18|85-91|anxiety|group
DDI-DrugBank.d223.s19|16-29|MAO inhibitors|group
DDI-DrugBank.d223.s19|73-82|phenelzine|drug
DDI-DrugBank.d223.s19|85-90|Nardil|brand
DDI-DrugBank.d223.s19|215-221|aspirin|drug
DDI-DrugBank.d223.s19|224-241|acetilsalicic acid|drug
DDI-DrugBank.d223.s19|248-259|glutethimide|drug
DDI-DrugBank.d223.s19|353-358|heroin|drug_n
DDI-DrugBank.d223.s19|364-380|clostridium toxin|drug_n
DDI-DrugBank.d223.s20|117-124|SINEQUAN|group
DDI-DrugBank.d223.s22|12-23| Cimetidine |drug
DDI-DrugBank.d223.s23|156-179|tricyclic antidepressant|drug
DDI-DrugBank.d223.s23|186-203|cimetidine therapy|group
DDI-DrugBank.d223.s24|133-142|cimetidine|drug
DDI-DrugBank.d223.s25|46-70|tricyclic antidepressants|group
DDI-DrugBank.d223.s26|9-147|It should be borne in mind that alcohol ingestion may increase the danger inherent in any intentional or unintentional SINEQUAN overdosage.|drug
DDI-DrugBank.d223.s27|0-19|acetylsalicylic acid|drug
DDI-DrugBank.d223.s27|21-32|glutethimide|drug
DDI-DrugBank.d223.s27|34-40|aspirin|drug
DDI-DrugBank.d44.s2|11-14|live|group
DDI-DrugBank.d44.s2|20-34|live-attenuated|group
DDI-DrugBank.d44.s3|0-32|Drug/Laboratory Test Interactions|drug
DDI-DrugBank.d44.s3|145-151|RAPTIVA|drug
DDI-DrugBank.d531.s0|0-49|Efavirenz has been shown in vivo to induce CYP3A4.|drug
DDI-DrugBank.d531.s1|122-130|efavirenz|drug
DDI-DrugBank.d531.s2|40-48|efavirenz|drug
DDI-DrugBank.d531.s2|112-120|efavirenz|drug
DDI-DrugBank.d531.s3|20-28|efavirenz|drug
DDI-DrugBank.d531.s4|75-79|drugs|group
DDI-DrugBank.d531.s4|215-221|aspirin|brand
DDI-DrugBank.d531.s4|227-231|xanax|brand
DDI-DrugBank.d531.s5|0-8|efavirenz|drug
DDI-DrugBank.d531.s5|10-22|phenobarbital|drug
DDI-DrugBank.d531.s5|24-31|rifampin|drug
DDI-DrugBank.d531.s5|33-41|rifabutin|drug
DDI-DrugBank.d531.s5|43-51|efavirenz|drug
DDI-DrugBank.d531.s5|96-107|glutethimide|drug
DDI-DrugBank.d531.s5|158-175|acetilsalicic acid|drug
DDI-DrugBank.d531.s5|177-181|xanax|drug
DDI-DrugBank.d531.s6|0-6|SUSTIVA|drug
DDI-DrugBank.d531.s6|63-69|SUSTIVA|drug
DDI-DrugBank.d531.s6|75-83|isoniazid|drug
DDI-DrugBank.d531.s6|89-96|rifampin|drug
DDI-DrugBank.d531.s7|10-14|drugs|group
DDI-DrugBank.d531.s7|63-79|clostridium toxin|drug_n
DDI-DrugBank.d531.s7|81-94|anticoagulants|group
DDI-DrugBank.d531.s7|96-112|antifungal agents|group
DDI-DrugBank.d531.s7|146-156|antibiotics|group
DDI-DrugBank.d531.s7|158-174|antifungal agents|group
DDI-DrugBank.d531.s7|226-239|anticoagulants|group
DDI-DrugBank.d531.s7|284-300|antifungal agents|group
DDI-DrugBank.d531.s7|352-362|antibiotics|group
DDI-DrugBank.d531.s7|364-380|antifungal agents|group
DDI-DrugBank.d531.s7|414-427|anticoagulants|group
DDI-DrugBank.d531.s7|429-445|antifungal agents|group
DDI-DrugBank.d531.s7|497-507|antibiotics|group
DDI-DrugBank.d531.s8|0-3|drug|drug
DDI-DrugBank.d531.s8|5-9|group|group
DDI-DrugBank.d531.s8|11-14|drug|drug
DDI-DrugBank.d531.s8|16-21|drug_n|drug_n
DDI-DrugBank.d531.s8|23-27|group|group
DDI-DrugBank.d531.s8|29-32|drug|drug
DDI-DrugBank.d531.s8|70-73|drug|drug
DDI-DrugBank.d531.s8|75-79|brand|brand
DDI-DrugBank.d531.s8|81-86|drug_n|drug_n
DDI-DrugBank.d531.s8|88-92|group|group
DDI-DrugBank.d531.s8|130-133|drug|drug
DDI-DrugBank.d531.s9|0-36|Not To Be Coadministered With SUSTIVA|drug
DDI-DrugBank.d531.s9|38-74|Not To Be Coadministered With SUSTIVA|drug
DDI-DrugBank.d531.s9|76-112|Not To Be Coadministered With SUSTIVA|drug
DDI-DrugBank.d531.s9|114-150|Not To Be Coadministered With SUSTIVA|drug
DDI-DrugBank.d531.s9|152-188|Not To Be Coadministered With SUSTIVA|drug
DDI-DrugBank.d531.s9|190-226|Not To Be Coadministered With SUSTIVA|drug
DDI-DrugBank.d531.s9|228-264|Not To Be Coadministered With SUSTIVA|drug
DDI-DrugBank.d531.s9|266-302|Not To Be Coadministered With SUSTIVA|drug
DDI-DrugBank.d531.s9|304-340|Not To Be Coadministered With SUSTIVA|drug
DDI-DrugBank.d531.s9|342-378|Not To Be Coadministered With SUSTIVA|drug
DDI-DrugBank.d531.s9|380-416|Not To Be Coadministered With SUSTIVA|drug
DDI-DrugBank.d531.s9|418-454|Not To Be Coadministered With SUSTIVA|drug
DDI-DrugBank.d531.s9|456-492|Not To Be Coadministered With SUSTIVA|drug
DDI-DrugBank.d531.s9|494-530|Not To Be Coadministered With SUSTIVA|drug
DDI-DrugBank.d531.s11|0-9|astemizole|drug
DDI-DrugBank.d531.s11|11-19|midazolam|drug
DDI-DrugBank.d531.s11|21-29|triazolam|drug
DDI-DrugBank.d531.s11|31-39|cisapride|drug
DDI-DrugBank.d531.s11|41-57|ergot derivatives|drug
DDI-DrugBank.d531.s11|59-70|voriconazole|drug_n
DDI-DrugBank.d531.s13|0-17|acetilsalicic acid|drug
DDI-DrugBank.d531.s13|19-32|anticoagulants|group
DDI-DrugBank.d531.s13|77-93|antifungal agents|group
DDI-DrugBank.d531.s13|144-155|glutethimide|drug
DDI-DrugBank.d531.s14|11-27|clostridium toxin|drug
DDI-DrugBank.d531.s14|29-34|heroin|drug_n
DDI-DrugBank.d531.s14|36-49|anticoagulants|group
DDI-DrugBank.d531.s14|51-67|antifungal agents|group
DDI-DrugBank.d531.s14|69-83|antidepressants|group
DDI-DrugBank.d531.s14|85-91|aspirin|drug
DDI-DrugBank.d531.s14|93-104|glutethimide|drug
DDI-DrugBank.d531.s14|106-123|acetilsalicic acid|drug
DDI-DrugBank.d531.s14|125-141|clostridium toxin|drug_n
DDI-DrugBank.d531.s14|143-148|heroin|drug_n
DDI-DrugBank.d531.s14|150-163|anticoagulants|group
DDI-DrugBank.d531.s14|165-181|antifungal agents|group
DDI-DrugBank.d531.s14|183-197|antidepressants|group
DDI-DrugBank.d531.s14|199-205|aspirin|drug
DDI-DrugBank.d531.s14|207-218|glutethimide|drug
DDI-DrugBank.d531.s14|220-237|acetilsalicic acid|drug
DDI-DrugBank.d531.s16|18-35|acetilsalicic acid|drug
DDI-DrugBank.d531.s16|38-51|anticoagulants|group
DDI-DrugBank.d531.s16|55-66|glutethimide|drug
DDI-DrugBank.d531.s16|69-77|sedatives|group
DDI-DrugBank.d531.s16|81-87|aspirin|brand
DDI-DrugBank.d531.s16|90-106|antifungal agents|group
DDI-DrugBank.d531.s16|110-126|clostridium toxin|drug_n
DDI-DrugBank.d531.s16|129-139|antibiotics|group
DDI-DrugBank.d531.s16|143-154|glutethimide|drug
DDI-DrugBank.d531.s16|157-171|anticonvulsants|group
DDI-DrugBank.d531.s16|175-192|acetilsalicic acid|drug
DDI-DrugBank.d531.s16|195-211|antifungal agents|group
DDI-DrugBank.d531.s16|215-221|aspirin|brand
DDI-DrugBank.d531.s16|224-234|antibiotics|group
DDI-DrugBank.d531.s16|238-243|heroin|drug_n
DDI-DrugBank.d531.s16|246-256|anesthetics|group
DDI-DrugBank.d531.s16|260-271|glutethimide|drug
DDI-DrugBank.d531.s16|274-288|antidepressants|group
DDI-DrugBank.d531.s16|292-308|clostridium toxin|drug_n
DDI-DrugBank.d531.s16|311-327|antifungal agents|group
DDI-DrugBank.d531.s16|331-348|acetilsalicic acid|drug
DDI-DrugBank.d531.s16|351-361|antibiotics|group
DDI-DrugBank.d531.s16|365-376|glutethimide|drug_n
DDI-DrugBank.d531.s18|0-9|atazanavir|drug
DDI-DrugBank.d531.s19|100-109|atazanavir|drug
DDI-DrugBank.d531.s19|154-184|groups or families of medicines|group
DDI-DrugBank.d531.s19|230-231|in|brand
DDI-DrugBank.d531.s19|234-277|active substances not approved for human use|drug_n
DDI-DrugBank.d531.s19|287-317|groups or families of medicines|group
DDI-DrugBank.d531.s19|372-373|in|brand
DDI-DrugBank.d531.s19|376-419|active substances not approved for human use|drug_n
DDI-DrugBank.d531.s19|529-538|atazanavir|drug
DDI-DrugBank.d531.s19|583-613|groups or families of medicines|group
DDI-DrugBank.d531.s19|659-660|in|brand
DDI-DrugBank.d531.s19|663-706|active substances not approved for human use|drug_n
DDI-DrugBank.d531.s20|27-36|atazanavir|group
DDI-DrugBank.d531.s22|11-28|acetilsalicic acid|drug
DDI-DrugBank.d531.s22|30-43|anticoagulants|group
DDI-DrugBank.d531.s22|137-153|antifungal agents|group
DDI-DrugBank.d531.s22|155-161|aspirin|brand
DDI-DrugBank.d531.s22|163-168|heroin|drug_n
DDI-DrugBank.d531.s22|170-180|antibiotics|group
DDI-DrugBank.d531.s22|231-247|antifungal agents|group
DDI-DrugBank.d531.s22|292-298|aspirin|brand
DDI-DrugBank.d531.s22|349-362|anticoagulants|group
DDI-DrugBank.d531.s22|364-369|heroin|drug_n
DDI-DrugBank.d531.s22|371-381|antibiotics|group
DDI-DrugBank.d531.s22|432-438|aspirin|brand
DDI-DrugBank.d531.s22|483-499|antifungal agents|group
DDI-DrugBank.d531.s22|550-556|aspirin|brand
DDI-DrugBank.d531.s22|558-563|heroin|drug_n
DDI-DrugBank.d531.s24|18-35|acetilsalicic acid|drug
DDI-DrugBank.d531.s24|37-48|glutethimide|drug
DDI-DrugBank.d531.s24|50-56|aspirin|drug
DDI-DrugBank.d531.s24|145-162|acetilsalicic acid|drug
DDI-DrugBank.d531.s24|164-177|anticoagulants|group
DDI-DrugBank.d531.s24|179-195|antifungal agents|group
DDI-DrugBank.d531.s24|197-203|aspirin|brand
DDI-DrugBank.d531.s24|249-266|acetilsalicic acid|drug
DDI-DrugBank.d531.s24|268-281|anticoagulants|group
DDI-DrugBank.d531.s24|283-299|antifungal agents|group
DDI-DrugBank.d531.s24|301-307|aspirin|brand
DDI-DrugBank.d531.s24|396-413|acetilsalicic acid|drug
DDI-DrugBank.d531.s24|415-428|anticoagulants|group
DDI-DrugBank.d531.s24|430-446|antifungal agents|group
DDI-DrugBank.d531.s24|448-454|aspirin|brand
DDI-DrugBank.d531.s24|500-517|acetilsalicic acid|drug
DDI-DrugBank.d531.s25|0-13|Clarithromycin|drug
DDI-DrugBank.d531.s29|26-43|46% developed rash|group
DDI-DrugBank.d531.s30|22-28|SUSTIVA|group
DDI-DrugBank.d531.s31|16-29|clarithromycin|drug
DDI-DrugBank.d531.s31|40-51|azithromycin|group
DDI-DrugBank.d531.s32|38-49|erythromycin|drug
DDI-DrugBank.d531.s33|0-17|acetilsalicic acid|drug
DDI-DrugBank.d531.s33|19-32|anticoagulants|group
DDI-DrugBank.d531.s33|34-45|glutethimide|drug
DDI-DrugBank.d531.s33|47-53|aspirin|brand
DDI-DrugBank.d531.s33|55-71|clostridium toxin|drug_n
DDI-DrugBank.d531.s33|73-89|antifungal agents|group
DDI-DrugBank.d531.s34|6-15|metabolite|group
DDI-DrugBank.d531.s36|0-8|indinavir|drug
DDI-DrugBank.d531.s37|20-28|indinavir|drug
DDI-DrugBank.d531.s38|15-23|indinavir|group
DDI-DrugBank.d531.s38|93-101|indinavir|drug_n
DDI-DrugBank.d531.s39|5-13|indinavir|drug
DDI-DrugBank.d531.s39|210-218|indinavir|drug
DDI-DrugBank.d531.s41|0-22|lopinavir concentration|drug
DDI-DrugBank.d531.s42|19-37|lopinavir/ritonavir|drug
DDI-DrugBank.d531.s45|73-83| methadone |drug
DDI-DrugBank.d531.s46|42-44|22%|drug
DDI-DrugBank.d531.s47|63-71|methadone|group
DDI-DrugBank.d531.s49|0-16|ethinyl estradiol|drug
DDI-DrugBank.d531.s50|35-43|efavirenz|group
DDI-DrugBank.d531.s56|22-30|rifabutin|group
DDI-DrugBank.d531.s56|55-63|rifabutin|drug_n
DDI-DrugBank.d531.s58|0-22|efavirenz concentration|drug
DDI-DrugBank.d531.s59|25-33|efavirenz|group
DDI-DrugBank.d531.s61|0-22|ritonavir concentration|drug
DDI-DrugBank.d531.s63|48-54|SUSTIVA|drug
DDI-DrugBank.d531.s64|0-8|efavirenz|drug
DDI-DrugBank.d531.s66|0-9|saquinavir|drug
DDI-DrugBank.d531.s68|0-9|sertraline|drug
DDI-DrugBank.d531.s70|13-22|sertraline|group
DDI-DrugBank.d531.s72|0-14|Anticoagulants:|group
DDI-DrugBank.d531.s72|16-23|Warfarin|drug
DDI-DrugBank.d531.s74|20-28|Phenytoin|drug
DDI-DrugBank.d531.s74|32-44|Phenobarbital|drug
DDI-DrugBank.d531.s74|48-60|Carbamazepine|drug
DDI-DrugBank.d531.s75|0-71|potential for reduction in anticonvulsant and/or efavirenz plasma levels|drug
DDI-DrugBank.d531.s76|23-36|anticonvulsant|group
DDI-DrugBank.d531.s77|15-41| Itraconazole Ketoconazole |group
DDI-DrugBank.d531.s78|0-6|SUSTIVA|drug
DDI-DrugBank.d531.s78|8-21|anticoagulants|drug
DDI-DrugBank.d531.s78|78-94|clostridium toxin|drug
DDI-DrugBank.d531.s78|96-101|heroin|drug
DDI-DrugBank.d531.s80|0-61|Anti-HIV protease inhibitors: Saquinavir/ritonavir combination|drug
DDI-DrugBank.d531.s82|0-9|Amprenavir|drug
DDI-DrugBank.d531.s87|0-8|efavirenz|drug
DDI-DrugBank.d531.s87|58-66|efavirenz|drug
DDI-DrugBank.d531.s88|2-20|See Tables 1 and 2.|drug
DDI-DrugBank.d531.s89|0-17|acetilsalicic acid|drug
DDI-DrugBank.d531.s89|19-30|glutethimide|drug
DDI-DrugBank.d531.s89|32-38|aspirin|drug
DDI-DrugBank.d531.s89|67-80|anticoagulants|group
DDI-DrugBank.d531.s89|82-98|antifungal agents|group
DDI-DrugBank.d531.s89|100-104|xanax|brand
DDI-DrugBank.d531.s89|106-48||drug_n
DDI-DrugBank.d531.s90|6-10|Drugs|group
DDI-DrugBank.d531.s91|0-6|SUSTIVA|drug
DDI-DrugBank.d107.s0|0-10|Hypotension|drug
DDI-DrugBank.d107.s0|13-20|Patients|drug
DDI-DrugBank.d107.s0|25-32|Diuretic|drug
DDI-DrugBank.d107.s0|34-40|Therapy|drug
DDI-DrugBank.d107.s0|43-50|Patients|drug
DDI-DrugBank.d107.s0|55-63|diuretics|drug
DDI-DrugBank.d107.s0|94-101|diuretic|drug
DDI-DrugBank.d107.s0|103-109|therapy|drug
DDI-DrugBank.d107.s0|190-194|blood|drug
DDI-DrugBank.d107.s0|196-203|pressure|drug
DDI-DrugBank.d107.s0|225-231|therapy|drug
DDI-DrugBank.d107.s0|238-246|enalapril|drug
DDI-DrugBank.d107.s0|251-261|enalaprilat|drug
DDI-DrugBank.d107.s1|44-52|enalapril|drug
DDI-DrugBank.d107.s1|57-67|enalaprilat|drug
DDI-DrugBank.d107.s1|191-199|enalapril|drug
DDI-DrugBank.d107.s1|204-214|enalaprilat|drug
DDI-DrugBank.d107.s2|199-206|diuretic|drug
DDI-DrugBank.d107.s2|394-402|diuretics|group
DDI-DrugBank.d107.s2|590-598|diuretics|brand
DDI-DrugBank.d107.s2|786-821|diuretics not approved for human use|drug_n
DDI-DrugBank.d107.s3|34-56|antihypertensive effect|group
DDI-DrugBank.d107.s3|61-69|enalapril|drug
DDI-DrugBank.d107.s3|75-86|enalapril IV|drug
DDI-DrugBank.d107.s3|104-126|antihypertensive agents|group
DDI-DrugBank.d107.s3|160-168|diuretics|brand
DDI-DrugBank.d107.s5|38-55|acetilsalicic acid|drug
DDI-DrugBank.d107.s5|57-70|anticoagulants|group
DDI-DrugBank.d107.s5|72-83|glutethimide|drug
DDI-DrugBank.d107.s5|172-178|aspirin|drug
DDI-DrugBank.d107.s5|180-196|antifungal agents|group
DDI-DrugBank.d107.s5|198-209|glutethimide|drug
DDI-DrugBank.d107.s6|34-57|indomethacin or sulindac|group
DDI-DrugBank.d107.s6|111-117|VASOTEC|brand
DDI-DrugBank.d107.s7|84-90|vasotec|group
DDI-DrugBank.d107.s8|30-35|NSAIDs|group
DDI-DrugBank.d107.s8|41-76|diminish the antihypertensive effect|drug_n
DDI-DrugBank.d107.s8|81-94|ACE inhibitors|group
DDI-DrugBank.d107.s9|0-106|This interaction should be given consideration in patients taking NSAIDs concomitantly with ACE inhibitors.|drug
DDI-DrugBank.d107.s9|108-113|NSAIDs|group
DDI-DrugBank.d107.s9|115-127|concomitantly|drug
DDI-DrugBank.d107.s9|129-132|with|group
DDI-DrugBank.d107.s9|134-136|ACE|drug
DDI-DrugBank.d107.s9|138-147|inhibitors|group
DDI-DrugBank.d107.s9|149-154|NSAIDs|drug
DDI-DrugBank.d107.s9|156-168|concomitantly|group
DDI-DrugBank.d107.s9|170-173|with|drug
DDI-DrugBank.d107.s9|175-177|ACE|group
DDI-DrugBank.d107.s9|179-188|inhibitors|drug
DDI-DrugBank.d107.s9|190-195|NSAIDs|drug
DDI-DrugBank.d107.s9|197-209|concomitantly|group
DDI-DrugBank.d107.s9|211-214|with|drug
DDI-DrugBank.d107.s9|216-218|ACE|group
DDI-DrugBank.d107.s9|220-229|inhibitors|drug
DDI-DrugBank.d107.s9|231-236|NSAIDs|drug
DDI-DrugBank.d107.s9|238-250|concomitantly|group
DDI-DrugBank.d107.s9|252-255|with|drug
DDI-DrugBank.d107.s9|257-259|ACE|group
DDI-DrugBank.d107.s9|261-270|inhibitors|drug
DDI-DrugBank.d107.s9|272-277|NSAIDs|drug
DDI-DrugBank.d107.s9|279-291|concomitantly|group
DDI-DrugBank.d107.s9|293-294|to|drug
DDI-DrugBank.d107.s9|296-301|reduce|group
DDI-DrugBank.d107.s9|303-305|the|drug
DDI-DrugBank.d107.s9|307-310|risk|group
DDI-DrugBank.d107.s9|312-313|of|drug
DDI-DrugBank.d107.s9|315-328|cardiovascular|group
DDI-DrugBank.d107.s10|30-38|Enalapril|drug
DDI-DrugBank.d107.s10|44-52|Enalapril|drug
DDI-DrugBank.d107.s10|91-121|beta adrenergic-blocking agents|group
DDI-DrugBank.d107.s10|124-133|methyldopa|group
DDI-DrugBank.d107.s10|136-143|nitrates|group
DDI-DrugBank.d107.s10|146-168|calcium-blocking agents|group
DDI-DrugBank.d107.s10|171-181|hydralazine|drug
DDI-DrugBank.d107.s10|184-191|prazosin|group
DDI-DrugBank.d107.s10|197-203|digoxin|drug
DDI-DrugBank.d107.s12|35-43|Enalapril|drug
DDI-DrugBank.d107.s12|49-57|Enalapril|drug
DDI-DrugBank.d107.s13|35-47|sironolactone|drug
DDI-DrugBank.d107.s13|50-59|riamterene|drug
DDI-DrugBank.d107.s13|65-73|amiloride|drug
DDI-DrugBank.d107.s15|95-103|diuretics|group
DDI-DrugBank.d107.s15|106-119|ACE inhibitors|brand
DDI-DrugBank.d107.s15|122-129|alkaloid|drug
DDI-DrugBank.d107.s15|131-144|anticoagulants|group
DDI-DrugBank.d107.s15|146-162|antifungal agents|brand
DDI-DrugBank.d107.s15|165-175|anphetamine|drug_n
DDI-DrugBank.d107.s15|177-190|anticoagulants|group
DDI-DrugBank.d107.s15|192-208|antifungal agents|brand
DDI-DrugBank.d107.s15|255-261|aspirin|brand
DDI-DrugBank.d107.s15|264-277|anticoagulants|group
DDI-DrugBank.d107.s15|280-296|antifungal agents|brand
DDI-DrugBank.d107.s15|299-304|heroin|drug_n
DDI-DrugBank.d107.s15|307-313|aspirin|brand
DDI-DrugBank.d107.s15|316-329|anticoagulants|group
DDI-DrugBank.d107.s15|332-348|antifungal agents|brand
DDI-DrugBank.d107.s15|395-401|aspirin|brand
DDI-DrugBank.d107.s15|404-417|anticoagulants|group
DDI-DrugBank.d107.s15|420-436|antifungal agents|brand
DDI-DrugBank.d107.s15|439-449|anphetamine|drug_n
DDI-DrugBank.d107.s15|452-458|aspirin|brand
DDI-DrugBank.d107.s15|461-474|anticoagulants|group
DDI-DrugBank.d107.s16|9-15|lithium|drug
DDI-DrugBank.d107.s16|66-72|lithium|drug
DDI-DrugBank.d107.s17|23-27|serum|drug
DDI-DrugBank.d107.s17|29-35|lithium|group
DDI-DrugBank.d107.s17|71-79|enalapril|drug
DDI-DrugBank.d395.s1|36-43|enoxacin|drug
DDI-DrugBank.d395.s2|10-17|Enoxacin|drug
DDI-DrugBank.d395.s4|14-21|enoxacin|group
DDI-DrugBank.d395.s4|69-76|enoxacin|group
DDI-DrugBank.d395.s7|34-40|digoxin|drug
DDI-DrugBank.d395.s8|13-19|digoxin|group
DDI-DrugBank.d395.s8|41-41|n|drug
DDI-DrugBank.d395.s9|155-162|fenbufen|drug
DDI-DrugBank.d395.s12|0-9|Sucralfate|drug
DDI-DrugBank.d395.s12|25-34|Quinolones|group
DDI-DrugBank.d395.s13|29-38|quinolones|group
DDI-DrugBank.d395.s14|0-11|sucralalfate|drug
DDI-DrugBank.d395.s15|5-12|divalent|group
DDI-DrugBank.d395.s15|17-25|trivalent|group
