DDI-MedLine.d48.s5|0-28|[(14)C]-diethyl pyrocarbonate|drug
DDI-DrugBank.d367.s13|0-13|Antihistamines|drug
DDI-DrugBank.d367.s13|22-37|chlorpheniramine|drug
DDI-DrugBank.d367.s15|28-35|atenolol|drug
DDI-DrugBank.d367.s15|38-56|hydrochlorothiazide|drug
DDI-DrugBank.d367.s15|59-69|propranolol|drug
DDI-DrugBank.d367.s23|0-8|sedatives|drug
DDI-DrugBank.d367.s23|14-26|tranquilizers|group
DDI-DrugBank.d367.s23|35-42|diazepam|drug
DDI-DrugBank.d223.s0|0-10|debrisoquin|drug
DDI-DrugBank.d223.s0|12-22|hydroxylase|drug
DDI-DrugBank.d223.s0|46-57|metabolizing|drug
DDI-DrugBank.d223.s0|59-65|isozyme|drug
DDI-DrugBank.d223.s0|67-76|cytochrome|drug
DDI-DrugBank.d223.s0|113-123|debrisoquin|drug
DDI-DrugBank.d223.s0|125-135|hydroxylase|drug
DDI-DrugBank.d223.s0|159-170|metabolizing|drug
DDI-DrugBank.d223.s0|172-178|isozyme|drug
DDI-DrugBank.d223.s0|180-189|cytochrome|drug
DDI-DrugBank.d223.s0|226-237|metabolizing|drug
DDI-DrugBank.d223.s0|239-245|isozyme|drug
DDI-DrugBank.d223.s0|247-256|cytochrome|drug
DDI-DrugBank.d223.s0|293-304|metabolizing|drug
DDI-DrugBank.d223.s0|306-312|isozyme|drug
DDI-DrugBank.d223.s0|314-323|cytochrome|drug
DDI-DrugBank.d223.s0|360-371|metabolizing|drug
DDI-DrugBank.d223.s0|373-379|isozyme|drug
DDI-DrugBank.d223.s1|0-15|reduced P450 2D6|drug
DDI-DrugBank.d223.s2|0-24|tricyclic antidepressants|drug
DDI-DrugBank.d223.s3|0-22|metabolized by P450 2D6|drug
DDI-DrugBank.d223.s5|47-71|tricyclic antidepressants|drug
DDI-DrugBank.d223.s7|131-141|propafenone|group
DDI-DrugBank.d223.s7|147-156|flecainide|brand
DDI-DrugBank.d223.s10|0-3|TCAs|drug
DDI-DrugBank.d223.s10|5-9|SSRIs|drug
DDI-DrugBank.d223.s10|11-35|tricyclic antidepressants|drug
DDI-DrugBank.d223.s10|37-75|selective serotonin reuptake inhibitors|drug
DDI-DrugBank.d223.s10|77-91|antidepressants|drug
DDI-DrugBank.d223.s10|93-109|antifungal agents|drug
DDI-DrugBank.d223.s11|72-85|anticoagulants|group
DDI-DrugBank.d223.s11|131-140|fluoxetine|drug
DDI-DrugBank.d223.s13|0-23|tricyclic antidepressant|drug
DDI-DrugBank.d223.s13|25-37|anticoagulant|drug
DDI-DrugBank.d223.s13|39-54|antifungal agent|drug
DDI-DrugBank.d223.s13|148-154|aspirin|drug
DDI-DrugBank.d223.s13|156-160|xanax|drug
DDI-DrugBank.d223.s13|254-271|acetilsalicic acid|drug
DDI-DrugBank.d223.s13|322-333|glutethimide|drug
DDI-DrugBank.d223.s13|476-482|aspirin|drug
DDI-DrugBank.d223.s13|625-642|acetilsalicic acid|drug
DDI-DrugBank.d223.s16|42-50|quinidine|drug
DDI-DrugBank.d223.s16|53-91|selective serotonin reuptake inhibitors|group
DDI-DrugBank.d223.s16|96-100|SSRIs|brand
DDI-DrugBank.d223.s18|51-57|doxepin|drug
DDI-DrugBank.d223.s19|139-152|MAO Inhibitors|group
DDI-DrugBank.d223.s20|117-124|SINEQUAN|drug
DDI-DrugBank.d223.s22|12-21|Cimetidine|drug
DDI-DrugBank.d223.s24|0-24|tricyclic antidepressants|drug
DDI-DrugBank.d223.s24|26-40|antidepressants|drug
DDI-DrugBank.d223.s24|42-51|cimetidine|drug
DDI-DrugBank.d223.s24|53-58|levels|drug
DDI-DrugBank.d223.s24|60-68|tricyclic|drug
DDI-DrugBank.d223.s24|70-84|antidepressants|group
DDI-DrugBank.d223.s24|86-91|levels|drug
DDI-DrugBank.d223.s24|93-101|tricyclic|drug
DDI-DrugBank.d223.s24|103-117|antidepressants|drug
DDI-DrugBank.d223.s24|170-184|antidepressants|drug
DDI-DrugBank.d223.s24|186-191|levels|drug
DDI-DrugBank.d223.s24|193-201|tricyclic|drug
DDI-DrugBank.d223.s24|203-217|antidepressants|group
DDI-DrugBank.d223.s24|219-233|antidepressants|drug
DDI-DrugBank.d223.s24|235-240|levels|drug
DDI-DrugBank.d223.s24|242-250|tricyclic|drug
DDI-DrugBank.d223.s24|252-266|antidepressants|drug
DDI-DrugBank.d223.s24|268-273|levels|drug
DDI-DrugBank.d223.s24|275-283|tricyclic|drug
DDI-DrugBank.d223.s24|285-299|antidepressants|drug
DDI-DrugBank.d223.s24|352-366|antidepressants|drug
DDI-DrugBank.d223.s24|368-373|levels|drug
DDI-DrugBank.d223.s24|375-383|tricyclic|drug
DDI-DrugBank.d223.s24|385-399|antidepressants|group
DDI-DrugBank.d223.s24|401-415|antidepressants|drug
DDI-DrugBank.d223.s27|0-17|acetilsalicic acid|drug
DDI-DrugBank.d223.s27|19-30|glutethimide|drug
DDI-DrugBank.d223.s27|32-38|aspirin|drug
DDI-DrugBank.d223.s27|40-51|glutethimide|drug
DDI-DrugBank.d223.s27|53-59|aspirin|drug
DDI-DrugBank.d223.s27|61-72|glutethimide|drug
DDI-DrugBank.d223.s27|74-80|aspirin|drug
DDI-DrugBank.d223.s27|82-93|glutethimide|drug
DDI-DrugBank.d223.s27|95-101|aspirin|drug
DDI-DrugBank.d223.s27|103-114|glutethimide|drug
DDI-DrugBank.d223.s27|116-122|aspirin|drug
DDI-DrugBank.d223.s27|124-135|glutethimide|drug
DDI-DrugBank.d223.s27|137-143|aspirin|drug
DDI-DrugBank.d223.s27|145-156|glutethimide|drug
DDI-DrugBank.d223.s27|158-164|aspirin|drug
DDI-DrugBank.d223.s27|166-177|glutethimide|drug
DDI-DrugBank.d223.s27|179-185|aspirin|drug
DDI-DrugBank.d223.s27|187-198|glutethimide|drug
DDI-DrugBank.d223.s27|200-206|aspirin|drug
DDI-DrugBank.d223.s27|208-219|glutethimide|drug
DDI-DrugBank.d223.s27|221-227|aspirin|drug
DDI-DrugBank.d223.s27|229-240|glutethimide|drug
DDI-DrugBank.d223.s27|242-248|aspirin|drug
DDI-DrugBank.d223.s27|250-261|glutethimide|drug
DDI-DrugBank.d223.s27|263-269|aspirin|drug
DDI-DrugBank.d44.s1|0-6|RAPTIVA|drug
DDI-DrugBank.d44.s3|0-6|RAPTIVA|drug
DDI-DrugBank.d44.s3|8-35|Laboratory test interactions|drug
DDI-DrugBank.d44.s3|37-66|Increases in lymphocyte counts|drug
DDI-DrugBank.d44.s3|68-115|related to the pharmacologic mechanism of action|drug
DDI-DrugBank.d44.s3|117-144|Laboratory Test Interactions|drug
DDI-DrugBank.d44.s3|146-175|Increases in lymphocyte counts|drug
DDI-DrugBank.d44.s3|177-224|related to the pharmacologic mechanism of action|drug
DDI-DrugBank.d531.s0|0-8|EFavirenz|drug
DDI-DrugBank.d531.s2|40-48|efavirenz|drug
DDI-DrugBank.d531.s2|59-61|2C9|group
DDI-DrugBank.d531.s2|64-67|2C19|group
DDI-DrugBank.d531.s2|74-76|3A4|group
DDI-DrugBank.d531.s2|112-120|efavirenz|drug
DDI-DrugBank.d531.s3|20-28|efavirenz|drug
DDI-DrugBank.d531.s4|67-80|anticoagulants|group
DDI-DrugBank.d531.s4|153-170|acetilsalicic acid|drug
DDI-DrugBank.d531.s4|175-186|glutethimide|drug
DDI-DrugBank.d531.s4|205-211|aspirin|brand
DDI-DrugBank.d531.s4|216-220|xanax|brand
DDI-DrugBank.d531.s4|295-311|clostridium toxin|drug_n
DDI-DrugBank.d531.s4|316-321|heroin|drug_n
DDI-DrugBank.d531.s5|0-8|efavirenz|drug
DDI-DrugBank.d531.s5|57-65|efavirenz|drug
DDI-DrugBank.d531.s5|111-119|efavirenz|drug
DDI-DrugBank.d531.s5|210-230|antiretroviral agents|group
DDI-DrugBank.d531.s5|240-248|efavirenz|drug
DDI-DrugBank.d531.s5|283-291|efavirenz|drug
DDI-DrugBank.d531.s5|398-406|efavirenz|drug
DDI-DrugBank.d531.s5|440-460|antiretroviral agents|group
DDI-DrugBank.d531.s5|470-478|efavirenz|drug
DDI-DrugBank.d531.s5|513-521|efavirenz|drug
DDI-DrugBank.d531.s5|628-636|efavirenz|drug
DDI-DrugBank.d531.s5|670-690|antiretroviral agents|group
DDI-DrugBank.d531.s6|0-6|SUSTIVA|drug
DDI-DrugBank.d531.s6|8-15|abacavir|drug
DDI-DrugBank.d531.s6|17-26|lamivudine|drug
DDI-DrugBank.d531.s6|28-34|ribovir|drug
DDI-DrugBank.d531.s6|36-52|hepatitis B virus|drug_n
DDI-DrugBank.d531.s6|54-60|SUSTIVA|drug
DDI-DrugBank.d531.s6|62-69|abacavir|drug
DDI-DrugBank.d531.s6|71-80|lamivudine|drug
DDI-DrugBank.d531.s6|82-88|ribovir|drug
DDI-DrugBank.d531.s6|90-106|hepatitis B virus|drug_n
DDI-DrugBank.d531.s6|108-114|SUSTIVA|drug
DDI-DrugBank.d531.s6|116-123|abacavir|drug
DDI-DrugBank.d531.s6|125-134|lamivudine|drug
DDI-DrugBank.d531.s6|136-142|ribovir|drug
DDI-DrugBank.d531.s6|144-160|hepatitis B virus|drug_n
DDI-DrugBank.d531.s9|0-12|Carbamazepine|drug
DDI-DrugBank.d531.s9|14-26|valproic acid|drug
DDI-DrugBank.d531.s9|28-42|phospholambudil|drug
DDI-DrugBank.d531.s9|44-60|clostridium toxin|drug
DDI-DrugBank.d531.s9|62-79|acetilsalicic acid|drug
DDI-DrugBank.d531.s9|81-92|glutethimide|drug
DDI-DrugBank.d531.s9|94-102|phenytoin|drug
DDI-DrugBank.d531.s9|104-120|trichloroethylene|drug
DDI-DrugBank.d531.s9|122-138|clostridium toxin|drug
DDI-DrugBank.d531.s9|140-152|acetazolamide|drug
DDI-DrugBank.d531.s9|154-166|phenobarbital|drug
DDI-DrugBank.d531.s9|168-176|phenytoin|drug
DDI-DrugBank.d531.s9|178-189|glutethimide|drug
DDI-DrugBank.d531.s9|191-203|carbamazepine|drug
DDI-DrugBank.d531.s9|205-217|phenobarbital|drug
DDI-DrugBank.d531.s9|219-231|acetazolamide|drug
DDI-DrugBank.d531.s9|233-241|phenytoin|drug
DDI-DrugBank.d531.s9|243-254|glutethimide|drug
DDI-DrugBank.d531.s9|256-268|carbamazepine|drug
DDI-DrugBank.d531.s9|270-282|acetazolamide|drug
DDI-DrugBank.d531.s9|284-296|phenobarbital|drug
DDI-DrugBank.d531.s9|298-309|glutethimide|drug
DDI-DrugBank.d531.s9|311-323|carbamazepine|drug
DDI-DrugBank.d531.s9|325-337|acetazolamide|drug
DDI-DrugBank.d531.s11|0-9|astemizole|drug
DDI-DrugBank.d531.s11|11-19|midazolam|drug
DDI-DrugBank.d531.s11|21-29|triazolam|drug
DDI-DrugBank.d531.s11|31-39|cisapride|drug
DDI-DrugBank.d531.s11|41-57|ergot derivatives|group
DDI-DrugBank.d531.s11|59-70|voriconazole|drug_n
DDI-DrugBank.d531.s13|0-11|glutethimide|drug
DDI-DrugBank.d531.s13|105-122|acetilsalicic acid|drug
DDI-DrugBank.d531.s13|124-130| heroin|drug_n
DDI-DrugBank.d531.s13|132-143|glutethimide|drug
DDI-DrugBank.d531.s13|237-254|acetilsalicic acid|drug
DDI-DrugBank.d531.s13|256-262| heroin|drug_n
DDI-DrugBank.d531.s13|264-275|glutethimide|drug
DDI-DrugBank.d531.s13|369-386|acetilsalicic acid|drug
DDI-DrugBank.d531.s13|388-394| heroin|drug_n
DDI-DrugBank.d531.s13|396-407|glutethimide|drug
DDI-DrugBank.d531.s13|501-518|acetilsalicic acid|drug
DDI-DrugBank.d531.s13|520-526| heroin|drug_n
DDI-DrugBank.d531.s13|528-539|glutethimide|drug
DDI-DrugBank.d531.s18|0-9|atazanavir|drug
DDI-DrugBank.d531.s19|100-105|300 mg|drug
DDI-DrugBank.d531.s22|10-27|acetilsalicic acid|drug
DDI-DrugBank.d531.s22|29-42|anticoagulants|group
DDI-DrugBank.d531.s22|44-55|glutethimide|drug
DDI-DrugBank.d531.s22|57-63|aspirin|brand
DDI-DrugBank.d531.s22|65-81|clostridium toxin|drug_n
DDI-DrugBank.d531.s22|83-94|glutethimide|drug
DDI-DrugBank.d531.s22|96-100|xanax|brand
DDI-DrugBank.d531.s22|134-151|acetilsalicic acid|drug
DDI-DrugBank.d531.s22|153-169|antifungal agents|group
DDI-DrugBank.d531.s22|171-182|glutethimide|drug
DDI-DrugBank.d531.s22|184-190|aspirin|brand
DDI-DrugBank.d531.s22|192-208|clostridium toxin|drug_n
DDI-DrugBank.d531.s22|210-221|glutethimide|drug
DDI-DrugBank.d531.s22|223-227|xanax|brand
DDI-DrugBank.d531.s22|261-278|acetilsalicic acid|drug
DDI-DrugBank.d531.s22|280-293|anticoagulants|group
DDI-DrugBank.d531.s22|295-306|glutethimide|drug
DDI-DrugBank.d531.s22|308-314|aspirin|brand
DDI-DrugBank.d531.s22|316-332|clostridium toxin|drug_n
DDI-DrugBank.d531.s22|334-345|glutethimide|drug
DDI-DrugBank.d531.s22|347-351|xanax|brand
DDI-DrugBank.d531.s25|0-13|Clarithromycin|drug
DDI-DrugBank.d531.s27|35-55|<drug> SUSTIVA</drug>|group
DDI-DrugBank.d531.s27|35-42| SUSTIVA|drug
DDI-DrugBank.d531.s27|46-62|clostridium toxin|drug_n
DDI-DrugBank.d531.s27|66-79|anticoagulants|group
DDI-DrugBank.d531.s27|83-99|antifungal agents|group
DDI-DrugBank.d531.s27|103-113|antibiotics|group
DDI-DrugBank.d531.s27|117-133|antifungal agents|group
DDI-DrugBank.d531.s27|137-152|antiviral agents|group
DDI-DrugBank.d531.s27|156-172|antifungal agents|group
DDI-DrugBank.d531.s27|176-186|antibiotics|group
DDI-DrugBank.d531.s27|190-206|antifungal agents|group
DDI-DrugBank.d531.s27|210-220|antibiotics|group
DDI-DrugBank.d531.s27|224-240|antifungal agents|group
DDI-DrugBank.d531.s27|244-259|antiviral agents|group
DDI-DrugBank.d531.s27|263-279|antifungal agents|group
DDI-DrugBank.d531.s27|283-293|antibiotics|group
DDI-DrugBank.d531.s27|297-313|antifungal agents|group
DDI-DrugBank.d531.s27|317-332|antiviral agents|group
DDI-DrugBank.d531.s27|336-352|antifungal agents|group
DDI-DrugBank.d531.s27|356-366|antibiotics|group
DDI-DrugBank.d531.s27|370-386|antifungal agents|group
DDI-DrugBank.d531.s27|390-405|antiviral agents|group
DDI-DrugBank.d531.s27|409-425|antifungal agents|group
DDI-DrugBank.d531.s30|22-28|SUSTIVA|drug
DDI-DrugBank.d531.s30|49-56|riptevir|drug
DDI-DrugBank.d531.s31|0-13|clarithromycin|drug
DDI-DrugBank.d531.s31|15-26|azithromycin|drug
DDI-DrugBank.d531.s31|28-39|alternatives|drug
DDI-DrugBank.d531.s31|41-42|to|drug
DDI-DrugBank.d531.s31|44-57|clarithromycin|drug_n
DDI-DrugBank.d531.s31|59-70|azithromycin|drug
DDI-DrugBank.d531.s31|72-83|alternatives|drug
DDI-DrugBank.d531.s31|157-166|considered|drug
DDI-DrugBank.d531.s31|168-179|alternatives|drug_n
DDI-DrugBank.d531.s31|251-252|as|drug_n
DDI-DrugBank.d531.s31|304-309|should|drug_n
DDI-DrugBank.d531.s31|387-398|alternatives|drug_n
DDI-DrugBank.d531.s31|470-471|as|drug_n
DDI-DrugBank.d531.s31|523-534|alternatives|drug_n
DDI-DrugBank.d531.s32|37-48|erythromycin|drug
DDI-DrugBank.d531.s33|0-11|glutethimide|drug
DDI-DrugBank.d531.s33|105-122|acetilsalicic acid|drug
DDI-DrugBank.d531.s33|265-282|acetilsalicic acid|drug
DDI-DrugBank.d531.s33|425-442|acetilsalicic acid|drug
DDI-DrugBank.d531.s33|585-602|acetilsalicic acid|drug
DDI-DrugBank.d531.s33|745-762|acetilsalicic acid|drug
DDI-DrugBank.d531.s35|0-8|Indinavir|drug
DDI-DrugBank.d531.s36|0-8|indinavir|drug
DDI-DrugBank.d531.s39|5-13|indinavir|drug
DDI-DrugBank.d531.s39|108-116|indinavir|drug
DDI-DrugBank.d531.s39|210-218|indinavir|drug
DDI-DrugBank.d531.s40|0-8|Lopinavir|drug
DDI-DrugBank.d531.s40|12-20|Lopinavir|drug
DDI-DrugBank.d531.s41|0-8|lopinavir|drug
DDI-DrugBank.d531.s42|19-37|lopinavir/ritonavir|drug
DDI-DrugBank.d531.s44|0-8|methadone|drug
DDI-DrugBank.d531.s45|94-102|methadone|drug
DDI-DrugBank.d531.s45|117-133|opiate withdrawal|group
DDI-DrugBank.d531.s48|0-16|Ethinyl estradiol|drug
DDI-DrugBank.d531.s49|0-16|ethinyl estradiol|drug
DDI-DrugBank.d531.s50|35-56|<drug>efavirenz</drug>|group
DDI-DrugBank.d531.s50|35-43|efavirenz|drug
DDI-DrugBank.d531.s51|0-28|clinical significance unknown|drug
DDI-DrugBank.d531.s52|37-45|efavirenz|drug
DDI-DrugBank.d531.s53|0-8|Rifabutin|drug
DDI-DrugBank.d531.s54|0-8|Rifabutin|drug
DDI-DrugBank.d531.s56|0-9| rifabutin|drug
DDI-DrugBank.d531.s57|0-7|Rifampin|drug
DDI-DrugBank.d531.s58|0-8|efavirenz|drug
DDI-DrugBank.d531.s60|0-8|Ritonavir|drug
DDI-DrugBank.d531.s61|0-8|ritonavir|drug
DDI-DrugBank.d531.s63|0-6|SUSTIVA|drug
DDI-DrugBank.d531.s64|0-8|efavirenz|drug
DDI-DrugBank.d531.s69|0-9|sertraline|drug
DDI-DrugBank.d531.s70|13-22|sertraline|drug
DDI-DrugBank.d531.s74|0-14|Anticonvulsants|group
DDI-DrugBank.d531.s74|17-25|Phenytoin|drug
DDI-DrugBank.d531.s74|27-39|Phenobarbital|drug
DDI-DrugBank.d531.s74|41-53|Carbamazepine|drug
DDI-DrugBank.d531.s75|0-40|potential for reduction in anticonvulsant|drug
DDI-DrugBank.d531.s75|49-57|efavirenz|drug
DDI-DrugBank.d531.s76|0-13|anticonvulsant|drug
DDI-DrugBank.d531.s76|15-20|plasma|drug
DDI-DrugBank.d531.s76|22-27|levels|drug
DDI-DrugBank.d531.s76|29-34|should|drug
DDI-DrugBank.d531.s76|39-47|conducted|group
DDI-DrugBank.d531.s77|14-27| Itraconazole |drug
DDI-DrugBank.d531.s77|29-42| Ketoconazole |drug
DDI-DrugBank.d531.s78|0-6|SUSTIVA|drug
DDI-DrugBank.d531.s79|0-6|SUSTIVA|drug
DDI-DrugBank.d531.s79|63-74|itraconazole|drug
DDI-DrugBank.d531.s79|80-91|ketoconazole|drug
DDI-DrugBank.d531.s80|0-9|Saquinavir|drug
DDI-DrugBank.d531.s80|13-21|ritonavir|drug
DDI-DrugBank.d531.s82|0-9|Amprenavir|drug
DDI-DrugBank.d531.s83|62-71|amprenavir|group
DDI-DrugBank.d531.s84|0-46|Non-nucleoside reverse transcriptase inhibitors|group
DDI-DrugBank.d531.s87|0-8|efavirenz|drug
DDI-DrugBank.d531.s87|51-57|SUSTIVA|drug
DDI-DrugBank.d531.s88|0-17|acetilsalicic acid|drug
DDI-DrugBank.d531.s88|19-30|glutethimide|drug
DDI-DrugBank.d531.s88|32-38|aspirin|drug
DDI-DrugBank.d531.s88|40-44|xanax|drug
DDI-DrugBank.d531.s88|138-149|glutethimide|drug
DDI-DrugBank.d531.s88|151-168|acetilsalicic acid|drug
DDI-DrugBank.d531.s88|170-181|glutethimide|drug
DDI-DrugBank.d531.s88|183-194|glutethimide|drug
DDI-DrugBank.d531.s88|196-207|glutethimide|drug
DDI-DrugBank.d531.s88|209-220|glutethimide|drug
DDI-DrugBank.d531.s88|314-325|glutethimide|drug
DDI-DrugBank.d531.s88|419-430|glutethimide|drug
DDI-DrugBank.d531.s88|524-535|glutethimide|drug
DDI-DrugBank.d531.s89|0-17|acetilsalicic acid|drug
DDI-DrugBank.d531.s89|19-30|glutethimide|drug
DDI-DrugBank.d531.s89|32-38|aspirin|drug
DDI-DrugBank.d531.s89|40-50|nitrofurion|drug
DDI-DrugBank.d531.s89|52-65|anticoagulants|group
DDI-DrugBank.d531.s89|67-83|antifungal agents|group
DDI-DrugBank.d531.s89|177-188|glutethimide|drug
DDI-DrugBank.d531.s89|190-207|acetilsalicic acid|drug
DDI-DrugBank.d531.s89|209-225|antifungal agents|group
DDI-DrugBank.d531.s89|276-293|acetilsalicic acid|drug
DDI-DrugBank.d531.s89|295-306|glutethimide|drug
DDI-DrugBank.d531.s89|449-460|glutethimide|drug
DDI-DrugBank.d531.s89|603-620|acetilsalicic acid|drug
DDI-DrugBank.d531.s91|0-6|SUSTIVA|drug
DDI-DrugBank.d531.s91|9-28|antiretroviral agent|drug_n
DDI-DrugBank.d531.s91|32-35|NRTI|drug
DDI-DrugBank.d107.s0|13-21|diuretics|group
DDI-DrugBank.d107.s0|52-59|diuretic|group
DDI-DrugBank.d107.s1|44-52|enalapril|drug
DDI-DrugBank.d107.s1|57-67|enalaprilat|drug
DDI-DrugBank.d107.s1|191-199|enalapril|drug
DDI-DrugBank.d107.s1|204-214|enalaprilat|drug
DDI-DrugBank.d107.s3|34-43| enalapril|drug
DDI-DrugBank.d107.s3|49-58| enalapril|drug
DDI-DrugBank.d107.s3|136-144|diuretics|group
DDI-DrugBank.d107.s4|116-129|anticoagulants|group
DDI-DrugBank.d107.s4|132-148|antifungal agents|group
DDI-DrugBank.d107.s4|155-165|antibiotics|group
DDI-DrugBank.d107.s4|193-201|enalapril|drug
DDI-DrugBank.d107.s4|298-304|aspirin|drug
DDI-DrugBank.d107.s6|34-45|indomethacin|drug
DDI-DrugBank.d107.s6|50-57|sulindac|drug
DDI-DrugBank.d107.s8|30-35|NSAIDs|drug
DDI-DrugBank.d107.s8|81-94|ACE inhibitors|drug
DDI-DrugBank.d107.s9|0-5|NSAIDs|drug
DDI-DrugBank.d107.s9|47-52|NSAIDs|drug
DDI-DrugBank.d107.s9|54-67|anticoagulants|group
DDI-DrugBank.d107.s9|69-80|glutethimide|drug
DDI-DrugBank.d107.s9|82-98|antifungal agents|group
DDI-DrugBank.d107.s9|100-116|clostridium toxin|drug_n
DDI-DrugBank.d107.s9|118-123|heroin|drug_n
DDI-DrugBank.d107.s9|125-142|acetilsalicic acid|drug
DDI-DrugBank.d107.s9|144-155|glutethimide|drug
DDI-DrugBank.d107.s9|157-170|anticoagulants|group
DDI-DrugBank.d107.s9|215-220|heroin|drug_n
DDI-DrugBank.d107.s9|222-239|acetilsalicic acid|drug
DDI-DrugBank.d107.s9|241-252|glutethimide|drug
DDI-DrugBank.d107.s9|254-270|antifungal agents|group
DDI-DrugBank.d107.s9|272-288|clostridium toxin|drug_n
DDI-DrugBank.d107.s9|322-339|acetilsalicic acid|drug
DDI-DrugBank.d107.s9|341-352|glutethimide|drug
DDI-DrugBank.d107.s9|354-367|anticoagulants|group
DDI-DrugBank.d107.s9|369-385|clostridium toxin|drug_n
DDI-DrugBank.d107.s10|29-37|Enalapril|group
DDI-DrugBank.d107.s10|43-54|Enalapril IV|group
DDI-DrugBank.d107.s11|46-59|anticoagulants|group
DDI-DrugBank.d107.s11|65-81|antifungal agents|group
DDI-DrugBank.d107.s13|0-13|spironolactone|drug
DDI-DrugBank.d107.s13|16-26|triamterene|drug
DDI-DrugBank.d107.s13|29-37|amiloride|drug
DDI-DrugBank.d107.s16|9-15|Lithium|drug
DDI-DrugBank.d107.s16|66-72|Lithium|drug
DDI-DrugBank.d107.s17|97-142|angiotensin-converting enzyme (ACE) inhibitors|group
DDI-DrugBank.d395.s1|36-43|enoxacin|drug
DDI-DrugBank.d395.s3|26-33|enoxacin|drug
DDI-DrugBank.d395.s5|69-76|caffeine|drug
DDI-DrugBank.d395.s5|100-107|enoxacin|drug
DDI-DrugBank.d395.s10|75-88|anticoagulants|group
DDI-DrugBank.d395.s10|91-107|antifungal agents|group
DDI-DrugBank.d395.s10|110-121|glutethimide|drug
DDI-DrugBank.d395.s12|25-34|Sucralfate|drug
DDI-DrugBank.d395.s14|0-9|sucralfate|drug
DDI-DrugBank.d395.s15|43-46|iron|drug
DDI-DrugBank.d395.s15|49-54|metals|group
DDI-DrugBank.d395.s15|57-63|ferrous|brand
DDI-DrugBank.d395.s15|68-82|ferrous sulfate|drug_n
DDI-DrugBank.d395.s15|88-103|ferrous fumarate|drug
DDI-DrugBank.d395.s15|106-121|iron supplements|group
DDI-DrugBank.d395.s15|126-142|ferrous gluconate|brand
DDI-DrugBank.d395.s15|170-185|ferrous fumarate|drug
DDI-DrugBank.d395.s15|273-287|ferrous sulfate|drug
DDI-DrugBank.d395.s15|293-308|iron supplements|group
DDI-DrugBank.d395.s15|313-319|ferrous|brand
DDI-DrugBank.d395.s15|401-416|ferrous fumarate|drug
DDI-DrugBank.d395.s15|507-523|ferrous gluconate|drug
DDI-DrugBank.d395.s15|529-544|iron supplements|group
DDI-DrugBank.d395.s15|549-555|ferrous|brand
DDI-DrugBank.d395.s16|0-8|quinolone|drug
DDI-DrugBank.d395.s16|142-150|quinolone|drug
DDI-DrugBank.d395.s17|0-7|antacids|drug
DDI-DrugBank.d395.s17|20-37|aluminum hydroxide|drug
DDI-DrugBank.d395.s17|43-61|magnesium hydroxide|drug
DDI-DrugBank.d395.s17|93-100|enosacin|drug
DDI-DrugBank.d395.s18|28-35|enoxacin|drug
DDI-DrugBank.d395.s21|0-7|Enoxacin|drug
DDI-DrugBank.d395.s21|43-54|theophylline|drug
DDI-DrugBank.d395.s21|178-189|theophylline|drug
DDI-DrugBank.d395.s22|85-98|anticoagulants|group
DDI-DrugBank.d395.s23|10-122|Quinolones, including enoxacin, decrease the clearance of R-warfarin, the less active isomer of racemic warfarin.|group
DDI-DrugBank.d241.s0|0-5|Flolan|drug
DDI-DrugBank.d241.s1|100-105|Flolan|drug
DDI-DrugBank.d241.s2|41-46|FLOLAN|drug
DDI-DrugBank.d241.s3|20-25|FLOLAN|drug
DDI-DrugBank.d241.s3|41-47|digoxin|drug
DDI-DrugBank.d241.s5|21-27|digoxin|drug
DDI-DrugBank.d525.s2|8-17|eprosartan|drug
DDI-DrugBank.d525.s2|266-275|eprosartan|drug
DDI-DrugBank.d525.s3|0-9|Ranitidine|drug
DDI-DrugBank.d278.s0|0-9|enoxaparin|drug
DDI-DrugBank.d278.s0|113-124|eptifibatide|drug
DDI-DrugBank.d152.s0|0-7|estrogen|drug
DDI-DrugBank.d152.s1|118-125|estrogen|drug
DDI-DrugBank.d152.s1|131-148|estrogen compounds|group
DDI-DrugBank.d152.s1|272-287|estrogen analogs|drug_n
DDI-DrugBank.d152.s3|0-13|antithrombin 3|drug
DDI-DrugBank.d152.s5|10-33|thyroid binding globulin|group
DDI-DrugBank.d152.s6|0-1|T3|drug
DDI-DrugBank.d152.s7|0-20|free T4 concentration|drug
DDI-DrugBank.d152.s8|10-31|pregnanediol excretion|group
DDI-DrugBank.d152.s8|44-65|pregnanediol excretion|drug_n
DDI-DrugBank.d152.s8|78-108|pregnancy-associated substances|group
DDI-DrugBank.d152.s8|131-161|pregnancy-associated substances|drug_n
DDI-DrugBank.d152.s8|174-204|pregnancy-associated substances|group
DDI-DrugBank.d152.s8|227-257|pregnancy-associated substances|drug_n
DDI-DrugBank.d152.s8|270-300|pregnancy-associated substances|group
DDI-DrugBank.d152.s8|323-353|pregnancy-associated substances|drug_n
DDI-DrugBank.d152.s8|366-396|pregnancy-associated substances|group
DDI-DrugBank.d152.s8|419-449|pregnancy-associated substances|drug_n
DDI-DrugBank.d152.s8|462-492|pregnancy-associated substances|group
DDI-DrugBank.d152.s8|515-545|pregnancy-associated substances|drug_n
DDI-DrugBank.d152.s8|558-588|pregnancy-associated substances|group
DDI-DrugBank.d152.s8|611-641|pregnancy-associated substances|drug_n
