DDI-MedLine.d48.s3|0-20|Diethyl pyrocarbonate|drug_n
DDI-DrugBank.d739.s10|225-237|norethindrone|drug
DDI-DrugBank.d739.s10|244-260|ethinyl estradiol|drug
DDI-DrugBank.d739.s10|271-281|terfenadine|drug
DDI-DrugBank.d739.s10|284-290|digoxin|drug
DDI-DrugBank.d739.s10|297-304|warfarin|drug
DDI-DrugBank.d739.s10|306-306| |drug
DDI-DrugBank.d739.s10|350-360|montelukast|drug
DDI-DrugBank.d739.s10|495-506|theophylline|drug
DDI-DrugBank.d739.s10|539-549|montelukast|drug
DDI-DrugBank.d739.s11|69-79|montelukast|drug
DDI-DrugBank.d739.s12|27-42|thyroid hormones|group
DDI-DrugBank.d739.s12|45-62|sedative hypnotics|group
DDI-DrugBank.d739.s12|65-102|non-steroidal anti-inflammatory agents|group
DDI-DrugBank.d739.s12|105-119|benzodiazepines|group
DDI-DrugBank.d739.s12|126-138|decongestants|group
DDI-DrugBank.d739.s12|141-154|Antihistamines|group
DDI-DrugBank.d739.s12|172-185|Phenothiazines|group
DDI-DrugBank.d739.s12|255-266|Cyclosporine|group
DDI-DrugBank.d739.s12|312-320|Ephedrine|group
DDI-DrugBank.d739.s12|388-404|Dextroamphetamine|group
DDI-DrugBank.d739.s12|472-480|Phenytoin|group
DDI-DrugBank.d739.s12|530-540|Propranolol|group
DDI-DrugBank.d739.s12|590-599|Methyldopa|group
DDI-DrugBank.d739.s12|657-670|Phenylbutazone|group
DDI-DrugBank.d739.s12|734-746|Phenylalanine|group
DDI-DrugBank.d739.s13|0-12|Phenobarbital|drug
DDI-DrugBank.d739.s13|70-80|montelukast|drug
DDI-DrugBank.d739.s13|133-143|montelukast|drug
DDI-DrugBank.d739.s14|25-35|montelukast|drug
DDI-DrugBank.d739.s15|112-124|phenobarbital|drug
DDI-DrugBank.d739.s15|129-136|rifampin|drug
DDI-DrugBank.d739.s15|164-174|montelukast|drug
DDI-DrugBank.d346.s0|50-54|REVIA|brand
DDI-DrugBank.d346.s0|77-83|opiates|group
DDI-DrugBank.d346.s1|70-74|REVIA|brand
DDI-DrugBank.d346.s2|46-50|REVIA|brand
DDI-DrugBank.d346.s2|56-65|disulfiram|drug
DDI-DrugBank.d346.s3|62-66|REVIA|brand
DDI-DrugBank.d346.s3|72-83|thioridazine|drug
DDI-DrugBank.d346.s4|16-20|REVIA|brand
DDI-DrugBank.d346.s4|43-48|opioid|group
DDI-DrugBank.d346.s4|141-157|opioid analgesics|group
DDI-DrugBank.d346.s4|160-165|Opioid|group
DDI-DrugBank.d346.s4|207-169||group
DDI-DrugBank.d346.s4|263-204||group
DDI-DrugBank.d346.s4|309-217||group
DDI-DrugBank.d346.s4|365-244||group
DDI-DrugBank.d346.s4|411-255||group
DDI-DrugBank.d346.s4|467-290||group
DDI-DrugBank.d346.s4|513-303||group
DDI-DrugBank.d346.s4|569-330||group
DDI-DrugBank.d346.s4|615-341||group
DDI-DrugBank.d346.s4|671-376||group
DDI-DrugBank.d346.s5|92-96|REVIA|brand
DDI-DrugBank.d14.s0|28-40|nitroglycerin|drug
DDI-DrugBank.d14.s0|92-102|Vasodilator|drug
DDI-DrugBank.d14.s0|115-127|nitroglycerin|drug
DDI-DrugBank.d14.s0|165-176|vasodilators|group
DDI-DrugBank.d14.s0|179-189|Vasodilator|drug
DDI-DrugBank.d14.s0|202-214|nitroglycerin|drug
DDI-DrugBank.d14.s0|252-263|vasodilators|group
DDI-DrugBank.d14.s0|266-276|Vasodilator|drug
DDI-DrugBank.d14.s0|289-301|nitroglycerin|drug
DDI-DrugBank.d14.s0|339-350|vasodilators|group
DDI-DrugBank.d14.s0|353-363|Vasodilator|drug
DDI-DrugBank.d14.s0|376-388|nitroglycerin|drug
DDI-DrugBank.d14.s0|426-437|vasodilators|group
DDI-DrugBank.d14.s0|440-450|Vasodilator|drug
DDI-DrugBank.d14.s0|463-475|nitroglycerin|drug
DDI-DrugBank.d14.s0|513-524|vasodilators|group
DDI-DrugBank.d14.s0|527-537|Vasodilator|drug
DDI-DrugBank.d14.s0|550-562|nitroglycerin|drug
DDI-DrugBank.d14.s1|0-6|Alcohol|drug
DDI-DrugBank.d14.s1|84-90|Alcohol|drug
DDI-DrugBank.d14.s1|152-158|Alcohol|drug
DDI-DrugBank.d14.s1|236-242|Alcohol|drug
DDI-DrugBank.d14.s1|304-310|Alcohol|drug
DDI-DrugBank.d14.s1|388-394|Alcohol|drug
DDI-DrugBank.d14.s1|472-478|Alcohol|drug
DDI-DrugBank.d14.s1|556-562|Alcohol|drug
DDI-DrugBank.d14.s1|640-646|Alcohol|drug
DDI-DrugBank.d14.s1|724-730|Alcohol|drug
DDI-DrugBank.d14.s1|808-814|Alcohol|drug
DDI-DrugBank.d14.s1|892-898|Alcohol|drug
DDI-DrugBank.d14.s2|66-89|calcium channel blockers|group
DDI-DrugBank.d14.s2|95-110|organic nitrates|group
DDI-DrugBank.d475.s0|43-52|nizatidine|drug
DDI-DrugBank.d475.s0|58-69|theophylline|drug
DDI-DrugBank.d475.s0|72-87|chlordiazepoxide|drug
DDI-DrugBank.d475.s0|90-98|lorazepam|drug
DDI-DrugBank.d475.s0|101-109|lidocaine|drug
DDI-DrugBank.d475.s0|112-120|phenytoin|drug
DDI-DrugBank.d475.s0|127-134|warfarin|drug
DDI-DrugBank.d475.s0|137-152|Coadministration|drug
DDI-DrugBank.d475.s0|157-166|nizatidine|drug
DDI-DrugBank.d475.s0|173-184|theophylline|drug
DDI-DrugBank.d475.s0|208-223|Coadministration|drug
DDI-DrugBank.d475.s0|228-237|nizatidine|drug
DDI-DrugBank.d475.s0|244-250|lithium|drug
DDI-DrugBank.d475.s0|274-289|Coadministration|drug
DDI-DrugBank.d475.s0|294-303|nizatidine|drug
DDI-DrugBank.d475.s0|310-317|warfarin|drug
DDI-DrugBank.d475.s0|341-356|Coadministration|drug
DDI-DrugBank.d475.s0|361-370|nizatidine|drug
DDI-DrugBank.d475.s0|377-383|glucose|drug
DDI-DrugBank.d475.s0|452-467|Coadministration|drug
DDI-DrugBank.d475.s0|472-481|nizatidine|drug
DDI-DrugBank.d475.s0|488-494|lactose|drug
DDI-DrugBank.d475.s1|0-9|Nizatidine|drug
DDI-DrugBank.d475.s3|47-53|aspirin|brand
DDI-DrugBank.d475.s3|114-123|nizatidine|drug
DDI-DrugBank.d761.s0|0-6|Alcohol|drug
DDI-DrugBank.d761.s0|84-90|XENICAL|brand
DDI-DrugBank.d761.s0|108-114|alcohol|drug
DDI-DrugBank.d761.s0|188-194|alcohol|drug
DDI-DrugBank.d761.s0|214-221|orlistat|drug
DDI-DrugBank.d761.s0|287-294|orlistat|drug
DDI-DrugBank.d761.s1|0-11|Cyclosporine|drug
DDI-DrugBank.d761.s1|38-44|XENICAL|brand
DDI-DrugBank.d761.s1|50-61|cyclosporine|drug
DDI-DrugBank.d761.s1|110-121|cyclosporine|drug
DDI-DrugBank.d761.s1|142-148|XENICAL|brand
DDI-DrugBank.d761.s1|174-185|cyclosporine|drug
DDI-DrugBank.d761.s2|0-6|Digoxin|drug
DDI-DrugBank.d761.s2|48-54|XENICAL|brand
DDI-DrugBank.d761.s2|93-99|XENICAL|brand
DDI-DrugBank.d761.s2|156-162|digoxin|drug
DDI-DrugBank.d761.s3|109-121|beta-carotene|drug
DDI-DrugBank.d761.s3|182-188|XENICAL|brand
DDI-DrugBank.d761.s3|192-204|beta-carotene|drug
DDI-DrugBank.d761.s3|282-288|XENICAL|drug
DDI-DrugBank.d761.s3|292-304|beta-carotene|drug
DDI-DrugBank.d761.s3|382-388|XENICAL|brand
DDI-DrugBank.d761.s3|392-404|beta-carotene|drug
DDI-DrugBank.d761.s3|482-488|XENICAL|brand
DDI-DrugBank.d761.s3|492-504|beta-carotene|drug
DDI-DrugBank.d761.s3|582-588|XENICAL|brand
DDI-DrugBank.d761.s3|592-604|beta-carotene|drug
DDI-DrugBank.d761.s3|682-688|XENICAL|brand
DDI-DrugBank.d761.s3|692-704|beta-carotene|drug
DDI-DrugBank.d761.s3|782-788|XENICAL|brand
DDI-DrugBank.d761.s3|792-804|beta-carotene|drug
DDI-DrugBank.d761.s4|0-6|XENICAL|brand
DDI-DrugBank.d761.s4|34-42|vitamin E|group
DDI-DrugBank.d761.s5|14-21|orlistat|drug
DDI-DrugBank.d761.s5|57-65|vitamin D|group
DDI-DrugBank.d761.s5|68-76|vitamin A|drug
DDI-DrugBank.d761.s5|105-113|vitamin K|drug
DDI-DrugBank.d761.s6|0-8|Glyburide|drug
DDI-DrugBank.d761.s6|50-57|orlistat|drug
DDI-DrugBank.d761.s6|95-102|orlistat|drug
DDI-DrugBank.d761.s6|187-195|glyburide|drug
DDI-DrugBank.d761.s7|0-9|Nifedipine|drug
DDI-DrugBank.d761.s7|78-84|XENICAL|brand
DDI-DrugBank.d761.s7|123-129|XENICAL|brand
DDI-DrugBank.d761.s7|168-177|nifedipine|drug
DDI-DrugBank.d761.s8|5-18|Contraceptives|group
DDI-DrugBank.d761.s8|75-81|XENICAL|brand
DDI-DrugBank.d761.s8|187-200|contraceptives|group
DDI-DrugBank.d761.s8|203-221|Oral Contraceptives|drug
DDI-DrugBank.d761.s8|278-284|XENICAL|brand
DDI-DrugBank.d761.s8|390-403|contraceptives|group
DDI-DrugBank.d761.s8|406-424|Oral Contraceptives|drug
DDI-DrugBank.d761.s8|481-487|XENICAL|brand
DDI-DrugBank.d761.s8|593-606|contraceptives|group
DDI-DrugBank.d761.s8|609-627|Oral Contraceptives|drug
DDI-DrugBank.d761.s8|684-690|XENICAL|brand
DDI-DrugBank.d761.s9|0-8|Phenytoin|drug
DDI-DrugBank.d761.s9|50-56|XENICAL|brand
DDI-DrugBank.d761.s9|95-101|XENICAL|brand
DDI-DrugBank.d761.s9|165-173|phenytoin|drug
DDI-DrugBank.d761.s10|0-10|Pravastatin|drug
DDI-DrugBank.d761.s10|108-114|XENICAL|brand
DDI-DrugBank.d761.s10|153-159|XENICAL|brand
DDI-DrugBank.d761.s10|200-210|pravastatin|drug
DDI-DrugBank.d761.s11|0-7|Warfarin|drug
DDI-DrugBank.d761.s11|58-64|XENICAL|brand
DDI-DrugBank.d761.s11|142-149|warfarin|drug
DDI-DrugBank.d761.s12|52-60|vitamin K|group
DDI-DrugBank.d761.s12|101-107|XENICAL|brand
DDI-DrugBank.d761.s12|125-133|vitamin K|group
DDI-DrugBank.d761.s12|179-185|XENICAL|brand
DDI-DrugBank.d761.s13|14-22|vitamin K|group
DDI-DrugBank.d761.s13|57-63|XENICAL|brand
DDI-DrugBank.d761.s13|102-109|warfarin|drug
DDI-DrugBank.d761.s13|130-136|XENICAL|brand
DDI-DrugBank.d744.s0|63-69|insulin|drug
DDI-DrugBank.d744.s0|83-101|hypoglycemic agents|group
DDI-DrugBank.d744.s0|196-203|SOMAVERT|brand
DDI-DrugBank.d744.s0|412-419|SOMAVERT|drug
DDI-DrugBank.d744.s0|520-537|hypoglycemic agent|group
DDI-DrugBank.d744.s0|666-683|hypoglycemic agent|group
DDI-DrugBank.d744.s0|797-815|hypoglycemic agents|group
DDI-DrugBank.d744.s1|33-39|opioids|group
DDI-DrugBank.d744.s1|67-77|pegvisomant|drug
DDI-DrugBank.d744.s1|172-178|opioids|group
DDI-DrugBank.d671.s0|19-24|CYLERT|brand
DDI-DrugBank.d671.s0|27-34|pemoline|drug
DDI-DrugBank.d671.s0|213-28||brand
DDI-DrugBank.d671.s0|221-79||drug
DDI-DrugBank.d671.s0|314-196||brand
DDI-DrugBank.d671.s0|322-165||drug
DDI-DrugBank.d671.s1|27-32|CYLERT|brand
DDI-DrugBank.d671.s2|68-73|CYLERT|brand
DDI-DrugBank.d671.s2|94-118|antiepileptic medications|group
DDI-DrugBank.d635.s0|97-102|MAXAIR|brand
DDI-DrugBank.d635.s0|171-176|MAXAIR|drug
DDI-DrugBank.d622.s0|5-12|atropine|drug
DDI-DrugBank.d622.s0|18-28|pralidoxime|drug
DDI-DrugBank.d622.s0|189-196|atropine|drug
DDI-DrugBank.d622.s1|45-52|atropine|drug
DDI-DrugBank.d622.s1|95-105|pralidoxime|drug
DDI-DrugBank.d622.s2|67-84|anticholinesterase|group
DDI-DrugBank.d622.s2|146-156|pralidoxime|drug
DDI-DrugBank.d622.s2|165-176|barbiturates|group
DDI-DrugBank.d622.s2|201-219|anticholinesterases|group
DDI-DrugBank.d622.s2|299-307|phenytoin|drug
DDI-DrugBank.d622.s2|326-338|pentobarbital|drug
DDI-DrugBank.d622.s2|374-385|Phenylgexine|drug
DDI-DrugBank.d622.s2|461-469|phenytoin|drug
DDI-DrugBank.d622.s2|488-500|Pentobarbital|drug
DDI-DrugBank.d622.s2|536-547|Phenylgexine|drug
DDI-DrugBank.d622.s2|623-631|phenytoin|drug
DDI-DrugBank.d622.s2|650-662|Pentobarbital|drug
DDI-DrugBank.d622.s2|698-709|Phenylgexine|drug
DDI-DrugBank.d622.s3|0-7|morphine|drug
DDI-DrugBank.d622.s3|10-21|theophylline|drug
DDI-DrugBank.d622.s3|24-36|aminophylline|drug
DDI-DrugBank.d622.s3|39-53|succinylcholine|drug
DDI-DrugBank.d622.s3|56-64|reserpine|drug
DDI-DrugBank.d622.s3|71-102|phenothiazine-type tranquilizers|group
DDI-DrugBank.d622.s3|139-153|organophosphate|group
DDI-DrugBank.d737.s0|0-8|Carbidopa|drug
DDI-DrugBank.d737.s0|10-17|Levodopa|drug
DDI-DrugBank.d737.s0|20-28|Carbidopa|drug
DDI-DrugBank.d737.s0|30-37|Levodopa|drug
DDI-DrugBank.d737.s0|82-92|pramipexole|drug
DDI-DrugBank.d737.s0|132-117||drug
DDI-DrugBank.d737.s0|142-127||drug
DDI-DrugBank.d737.s0|201-136||drug
DDI-DrugBank.d737.s0|309-137||drug
DDI-DrugBank.d737.s0|417-191||drug
DDI-DrugBank.d737.s0|525-222||drug
DDI-DrugBank.d737.s0|633-223||drug
DDI-DrugBank.d737.s2|0-9|Selegiline|drug
DDI-DrugBank.d737.s2|43-52|selegiline|drug
DDI-DrugBank.d737.s2|96-106|pramipexole|drug
DDI-DrugBank.d737.s3|0-9|Amantadine|drug
DDI-DrugBank.d737.s3|62-71|amantadine|drug
DDI-DrugBank.d737.s3|116-126|pramipexole|drug
DDI-DrugBank.d737.s4|0-9|Cimetidine|drug
DDI-DrugBank.d737.s4|12-21|Cimetidine|drug
DDI-DrugBank.d737.s4|146-156|pramipexole|drug
DDI-DrugBank.d737.s5|0-9|Probenecid|drug
DDI-DrugBank.d737.s5|12-21|Probenecid|drug
DDI-DrugBank.d737.s5|144-154|pramipexole|drug
DDI-DrugBank.d737.s5|249-174||drug
DDI-DrugBank.d737.s5|354-175||drug
DDI-DrugBank.d737.s5|459-190||drug
DDI-DrugBank.d737.s5|564-232||drug
DDI-DrugBank.d737.s5|669-258||drug
DDI-DrugBank.d737.s6|178-187|cimetidine|drug
DDI-DrugBank.d737.s6|190-199|ranitidine|drug
DDI-DrugBank.d737.s6|202-210|diltiazem|drug
DDI-DrugBank.d737.s6|213-223|triamterene|drug
DDI-DrugBank.d737.s6|226-234|verapamil|drug
DDI-DrugBank.d737.s6|237-245|quinidine|drug
DDI-DrugBank.d737.s6|252-258|quinine|drug
DDI-DrugBank.d737.s6|293-303|pramipexole|drug
DDI-DrugBank.d737.s6|379-392|cephalosporins|group
DDI-DrugBank.d737.s6|395-405|penicillins|group
DDI-DrugBank.d737.s6|408-419|indomethacin|drug
DDI-DrugBank.d737.s6|422-440|hydrochlorothiazide|drug
DDI-DrugBank.d737.s6|447-460|chlorpropamide|drug
DDI-DrugBank.d737.s6|521-531|pramipexole|drug
DDI-DrugBank.d737.s7|88-98|pramipexole|drug
DDI-DrugBank.d737.s7|120-130|pramipexole|drug
DDI-DrugBank.d737.s7|201-203|CYP|drug
DDI-DrugBank.d737.s7|289-299|pramipexole|drug
DDI-DrugBank.d737.s7|321-331|pramipexole|drug
DDI-DrugBank.d737.s7|402-404|CYP|drug
DDI-DrugBank.d737.s7|490-500|pramipexole|drug
DDI-DrugBank.d737.s7|522-532|pramipexole|drug
DDI-DrugBank.d737.s7|603-605|CYP|drug
DDI-DrugBank.d737.s7|691-701|pramipexole|drug
DDI-DrugBank.d737.s7|723-733|pramipexole|drug
DDI-DrugBank.d737.s8|0-10|Pramipexole|drug
DDI-DrugBank.d737.s9|80-90|pramipexole|drug
DDI-DrugBank.d737.s10|0-19|Dopamine antagonists|group
DDI-DrugBank.d737.s10|28-38|pramipexole|drug
DDI-DrugBank.d737.s10|45-60|dopamine agonist|group
DDI-DrugBank.d737.s10|83-102|dopamine antagonists|group
DDI-DrugBank.d737.s10|117-128|neuroleptics|group
DDI-DrugBank.d737.s10|131-144|phenothiazines|group
DDI-DrugBank.d737.s10|147-160|butyrophenones|group
DDI-DrugBank.d737.s10|163-175|thioxanthenes|group
DDI-DrugBank.d737.s10|181-194|metoclopramide|drug
DDI-DrugBank.d737.s10|231-237|MIRAPEX|brand
DDI-DrugBank.d737.s10|240-253|Metoclopramide|drug
DDI-DrugBank.d737.s10|300-313|metoclopramide|drug
DDI-DrugBank.d737.s10|349-355|MIRAPEX|brand
DDI-DrugBank.d737.s10|446-456|pramipexole|drug
DDI-DrugBank.d737.s10|462-475|metoclopramide|group
DDI-DrugBank.d737.s10|500-513|metoclopramide|drug
DDI-DrugBank.d737.s10|582-588|MIRAPEX|brand
DDI-DrugBank.d737.s11|75-81|MIRAPEX|brand
DDI-DrugBank.d737.s11|564-570|MIRAPEX|brand
DDI-DrugBank.d737.s11|740-746|MIRAPEX|brand
DDI-DrugBank.d737.s11|749-757|Phenytoin|drug
DDI-DrugBank.d737.s11|760-772|carbamazepine|drug
DDI-DrugBank.d737.s11|779-787|valproate|drug
DDI-DrugBank.d737.s11|905-911|MIRAPEX|brand
DDI-DrugBank.d737.s11|1003-1011|phenytoin|drug
DDI-DrugBank.d632.s0|40-45|SYMLIN|brand
DDI-DrugBank.d632.s0|150-171|anticholinergic agents|group
DDI-DrugBank.d632.s0|181-188|atropine|drug
DDI-DrugBank.d632.s0|258-285|alpha glucosidase inhibitors|group
DDI-DrugBank.d632.s0|289-296|Atropine|drug
DDI-DrugBank.d632.s0|365-392|alpha glucosidase inhibitors|group
DDI-DrugBank.d632.s0|455-482|Alpha glucosidase inhibitors|group
DDI-DrugBank.d632.s0|557-564|Atropine|drug
DDI-DrugBank.d632.s0|633-660|alpha glucosidase inhibitors|group
DDI-DrugBank.d632.s0|723-750|Alpha glucosidase inhibitors|group
DDI-DrugBank.d632.s0|825-832|Atropine|drug
DDI-DrugBank.d632.s0|901-928|alpha glucosidase inhibitors|group
DDI-DrugBank.d632.s2|0-5|SYMLIN|brand
DDI-DrugBank.d632.s3|116-125|analgesics|group
DDI-DrugBank.d632.s3|204-209|SYMLIN|brand
DDI-DrugBank.d632.s4|43-55|sulfonylureas|group
DDI-DrugBank.d632.s4|60-69|biguanides|group
DDI-DrugBank.d632.s4|114-119|SYMLIN|brand
DDI-DrugBank.d632.s5|74-79|SYMLIN|brand
DDI-DrugBank.d632.s5|105-123|antidiabetic agents|group
DDI-DrugBank.d632.s6|7-12|SYMLIN|brand
DDI-DrugBank.d632.s6|18-24|Insulin|drug
DDI-DrugBank.d632.s6|60-65|SYMLIN|brand
DDI-DrugBank.d632.s6|96-102|regular|drug
DDI-DrugBank.d632.s6|105-107|NPH|drug
DDI-DrugBank.d632.s6|163-169|insulin|drug
DDI-DrugBank.d632.s7|6-11|SYMLIN|brand
DDI-DrugBank.d632.s7|17-23|insulin|drug
DDI-DrugBank.d632.s7|323-88||drug
DDI-DrugBank.d632.s7|744-316||drug
DDI-DrugBank.d734.s0|0-17|Thiazide diuretics|group
DDI-DrugBank.d734.s0|82-95|phenothiazines|group
DDI-DrugBank.d734.s1|0-15|Antihypertensive|group
DDI-DrugBank.d734.s1|28-39|guanethidine|drug
DDI-DrugBank.d734.s1|88-101|phenothiazines|group
DDI-DrugBank.d734.s2|30-40|propranolol|drug
DDI-DrugBank.d734.s2|47-60|phenothiazines|group
DDI-DrugBank.d590.s0|20-25|TRITEC|brand
DDI-DrugBank.d590.s0|32-45|clarithromycin|drug
DDI-DrugBank.d590.s0|76-85|ranitidine|drug
DDI-DrugBank.d590.s0|126-132|bismuth|drug
DDI-DrugBank.d590.s0|190-203|clarithromycin|drug
DDI-DrugBank.d590.s1|22-28|aspirin|brand
DDI-DrugBank.d590.s1|74-83|salicylate|group
DDI-DrugBank.d590.s2|37-43|antacid|group
DDI-DrugBank.d590.s2|109-118|ranitidine|drug
DDI-DrugBank.d590.s2|162-168|bismuth|drug
DDI-DrugBank.d590.s2|175-180|TRITEC|brand
DDI-DrugBank.d590.s4|53-62|ranitidine|drug
DDI-DrugBank.d590.s4|78-83|ZANTAC|brand
DDI-DrugBank.d654.s0|26-37|ketoconazole|drug
DDI-DrugBank.d654.s0|68-78|retapamulin|drug
DDI-DrugBank.d654.s0|150-160|retapamulin|drug
DDI-DrugBank.d654.s1|32-42|retapamulin|drug
DDI-DrugBank.d654.s1|110-120|retapamulin|drug
DDI-DrugBank.d654.s1|191-202|ketoconazole|drug
DDI-DrugBank.d654.s2|114-120|ALTABAX|brand
DDI-DrugBank.d654.s2|123-133|retapamulin|drug
DDI-DrugBank.d654.s3|40-46|ALTABAX|brand
DDI-DrugBank.d124.s1|63-70|INVIRASE|brand
DDI-DrugBank.d124.s1|76-84|FORTOVASE|brand
DDI-DrugBank.d124.s2|48-56|FORTOVASE|brand
DDI-DrugBank.d124.s2|84-91|INVIRASE|drug
DDI-DrugBank.d124.s3|8-16|ritonavir|drug
DDI-DrugBank.d124.s3|102-110|ritonavir|drug
DDI-DrugBank.d124.s4|18-27|saquinavir|drug
DDI-DrugBank.d124.s5|14-23|saquinavir|drug
DDI-DrugBank.d124.s6|83-92|saquinavir|drug
DDI-DrugBank.d124.s7|11-20|saquinavir|drug
DDI-DrugBank.d124.s9|68-75|INVIRASE|brand
DDI-DrugBank.d124.s9|81-89|ritonavir|drug
DDI-DrugBank.d124.s12|45-52|INVIRASE|brand
DDI-DrugBank.d124.s12|54-62|ritonavir|drug
DDI-DrugBank.d124.s14|0-14|Antiarrhythmics|group
DDI-DrugBank.d124.s14|17-26|Amiodarone|drug
DDI-DrugBank.d124.s14|29-36|bepridil|drug
DDI-DrugBank.d124.s14|39-48|flecainide|drug
DDI-DrugBank.d124.s14|51-61|propafenone|drug
DDI-DrugBank.d124.s14|64-72|quinidine|drug
DDI-DrugBank.d124.s14|179-163||drug
DDI-DrugBank.d124.s14|189-173||drug
DDI-DrugBank.d124.s14|201-185||drug
DDI-DrugBank.d124.s14|214-198||drug
DDI-DrugBank.d124.s14|329-209||drug
DDI-DrugBank.d124.s14|339-306||drug
DDI-DrugBank.d124.s14|351-316||drug
DDI-DrugBank.d124.s14|364-328||drug
DDI-DrugBank.d124.s14|479-341||drug
DDI-DrugBank.d124.s14|489-352||drug
DDI-DrugBank.d124.s14|501-449||drug
DDI-DrugBank.d124.s14|514-459||drug
DDI-DrugBank.d124.s15|0-13|Antihistamines|group
DDI-DrugBank.d124.s15|16-25|astemizole|drug
DDI-DrugBank.d124.s15|28-38|terfenadine|drug
DDI-DrugBank.d124.s15|132-141|astemizole|drug
DDI-DrugBank.d124.s15|147-157|terfenadine|drug
DDI-DrugBank.d124.s15|249-259|Terfenadine|drug
DDI-DrugBank.d124.s15|443-453|terfenadine|drug
DDI-DrugBank.d124.s15|695-705|Terfenadine|drug
DDI-DrugBank.d124.s15|822-832|Terfenadine|drug
DDI-DrugBank.d124.s16|0-16|Ergot Derivatives|group
DDI-DrugBank.d124.s16|19-35|dihydroergotamine|drug
DDI-DrugBank.d124.s16|38-47|ergonovine|drug
DDI-DrugBank.d124.s16|50-59|ergotamine|drug
DDI-DrugBank.d124.s16|62-77|methylergonovine|drug
DDI-DrugBank.d124.s17|0-23|Antimycobacterial Agents|group
DDI-DrugBank.d124.s17|26-33|rifampin|drug
DDI-DrugBank.d124.s17|99-108|saquinavir|drug
DDI-DrugBank.d124.s17|176-185|saquinavir|drug
DDI-DrugBank.d124.s18|0-5|Garlic|drug
DDI-DrugBank.d124.s18|16-21|Garlic|drug
DDI-DrugBank.d124.s18|64-73|saquinavir|drug
DDI-DrugBank.d124.s18|76-84|FORTOVASE|brand
DDI-DrugBank.d124.s18|99-116|protease inhibitor|group
DDI-DrugBank.d124.s18|147-156|saquinavir|drug
DDI-DrugBank.d124.s19|50-57|INVIRASE|brand
DDI-DrugBank.d124.s19|59-67|ritonavir|drug
DDI-DrugBank.d124.s19|72-80|FORTOVASE|brand
DDI-DrugBank.d124.s19|82-90|ritonavir|drug
DDI-DrugBank.d124.s19|121-106||drug
DDI-DrugBank.d124.s19|176-113||drug
DDI-DrugBank.d124.s19|264-181||drug
DDI-DrugBank.d124.s19|410-183||drug
DDI-DrugBank.d124.s19|556-574|protease inhibitors|group
DDI-DrugBank.d124.s19|704-569||group
DDI-DrugBank.d124.s19|852-575||group
DDI-DrugBank.d124.s20|19-27|cisapride|drug
DDI-DrugBank.d124.s21|34-53|hypericum perforatum|drug
DDI-DrugBank.d124.s21|147-154|INVIRASE|brand
DDI-DrugBank.d124.s22|0-27|HMG-CoA Reductase Inhibitors|group
DDI-DrugBank.d124.s22|30-39|lovastatin|drug
DDI-DrugBank.d124.s22|42-52|simvastatin|drug
DDI-DrugBank.d124.s23|0-8|Sedatives|group
DDI-DrugBank.d124.s23|10-18|Hypnotics|group
DDI-DrugBank.d124.s23|21-29|triazolam|drug
DDI-DrugBank.d124.s23|32-40|midazolam|drug
DDI-DrugBank.d124.s23|188-196|Sedatives|group
DDI-DrugBank.d124.s23|222-230|triazolam|drug
DDI-DrugBank.d124.s23|233-241|midazolam|drug
DDI-DrugBank.d124.s23|389-205||group
DDI-DrugBank.d124.s23|423-431|triazolam|drug
DDI-DrugBank.d124.s23|434-442|midazolam|drug
DDI-DrugBank.d124.s23|590-382||group
DDI-DrugBank.d124.s23|624-632|triazolam|drug
DDI-DrugBank.d124.s23|635-643|midazolam|drug
DDI-DrugBank.d124.s23|791-398||group
DDI-DrugBank.d124.s26|122-145|calcium channel blockers|group
DDI-DrugBank.d124.s26|148-154|dapsone|drug
DDI-DrugBank.d124.s26|157-168|disopyramide|drug
DDI-DrugBank.d124.s26|171-177|quinine|drug
DDI-DrugBank.d124.s26|180-189|amiodarone|drug
DDI-DrugBank.d124.s26|192-200|quinidine|drug
DDI-DrugBank.d124.s26|203-210|warfarin|drug
DDI-DrugBank.d124.s26|213-222|tacrolimus|drug
DDI-DrugBank.d124.s26|225-236|cyclosporine|drug
DDI-DrugBank.d124.s26|239-255|ergot derivatives|group
DDI-DrugBank.d124.s26|258-265|pimozide|drug
DDI-DrugBank.d124.s26|268-280|carbamazepine|drug
DDI-DrugBank.d124.s26|283-290|fentanyl|drug
DDI-DrugBank.d124.s26|293-302|alfentanyl|drug
DDI-DrugBank.d124.s26|305-314|alprazolam|drug
DDI-DrugBank.d124.s26|321-329|triazolam|drug
DDI-DrugBank.d124.s26|397-406|saquinavir|drug
DDI-DrugBank.d124.s28|6-13|INVIRASE|brand
DDI-DrugBank.d124.s28|38-46|ritonavir|drug
DDI-DrugBank.d124.s28|53-61|ritonavir|drug
DDI-DrugBank.d124.s30|72-84|phenobarbital|drug
DDI-DrugBank.d124.s30|87-95|phenytoin|drug
DDI-DrugBank.d124.s30|98-110|dexamethasone|drug
DDI-DrugBank.d124.s30|113-125|carbamazepine|drug
DDI-DrugBank.d124.s30|169-178|saquinavir|drug
DDI-DrugBank.d694.s0|0-6|Digoxin|drug
DDI-DrugBank.d694.s0|124-130|digoxin|drug
DDI-DrugBank.d694.s0|169-179|sitagliptin|drug
